fixing non ASCII chars on jmetal...
loading java files...
compiling...
removing aux files...
running...
	Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Var14	Var15	Var16	Obj1	Obj2	Obj3	Obj4	Obj5
	0.000	0.000	0.614	2.762	2.805	6.171	3.040	11.731	8.619	7.164	10.253	13.005	13.048	9.995	14.536	15.674	0.963	0.963	0.963	6.751	2.946
	0.002	0.000	0.300	4.000	5.000	4.748	7.000	8.000	9.000	10.000	11.000	3.182	13.000	14.210	15.000	16.000	1.868	0.974	0.986	1.439	2.465
	0.002	0.001	0.000	4.552	6.189	9.285	8.556	7.173	8.429	12.488	9.480	12.937	15.625	14.724	19.160	9.629	0.976	0.976	4.655	1.143	2.559
	0.978	1.804	2.538	0.637	5.293	4.857	5.583	6.054	7.412	9.486	6.677	8.450	7.690	9.792	10.772	13.286	2.650	0.949	0.940	0.940	0.942
	0.482	0.000	0.026	4.000	5.000	6.000	7.000	13.126	9.000	10.000	11.000	12.000	13.000	14.000	15.000	16.000	1.911	0.974	1.019	1.620	1.009
	0.283	0.041	0.000	0.244	3.150	3.508	1.035	13.082	8.207	13.668	18.135	18.255	2.853	22.036	17.490	26.231	1.839	0.998	1.422	1.058	1.073
	0.035	0.079	0.000	3.194	4.775	6.000	7.000	8.786	9.000	9.281	13.854	12.170	15.393	12.602	14.229	17.374	1.782	0.974	1.501	1.023	1.544
	1.403	1.025	0.000	2.468	3.985	7.909	7.602	8.766	11.105	19.000	11.507	13.039	10.399	15.439	11.116	17.858	1.992	0.972	1.552	0.978	0.972
	0.000	0.000	0.006	5.871	6.434	8.510	6.488	0.000	6.512	9.410	7.831	20.512	17.469	15.107	13.849	15.134	0.969	0.969	0.969	6.075	3.039
	1.068	2.162	1.818	4.368	4.581	5.468	3.000	8.825	8.637	13.632	10.137	7.634	9.100	9.737	10.612	10.812	2.747	0.931	0.934	0.932	0.934
	0.003	0.001	0.000	2.792	4.471	7.093	6.138	5.755	8.085	6.963	10.778	9.474	10.430	11.237	17.523	19.824	0.958	0.958	4.627	1.153	2.394
	1.032	1.910	3.709	2.751	4.031	4.227	4.897	4.349	8.125	6.869	4.968	12.669	9.166	6.321	16.458	11.200	2.753	0.932	0.931	0.932	0.934
	0.000	0.712	0.107	0.000	5.117	7.670	7.000	8.000	18.000	11.266	16.229	6.510	12.077	13.342	8.793	16.000	0.975	3.157	1.003	0.983	2.997
	0.003	0.000	0.000	5.052	5.735	5.623	3.473	8.945	5.610	13.288	10.197	6.095	21.131	9.315	8.872	11.836	0.966	0.966	4.551	1.198	2.356
	0.854	0.753	0.977	0.000	4.669	0.998	5.501	5.953	8.546	7.503	8.974	5.931	9.102	9.316	12.164	10.436	0.943	4.430	0.952	0.953	0.951
	0.000	0.000	1.148	3.399	3.586	4.235	2.868	7.185	2.940	11.360	11.265	10.486	16.157	11.064	8.603	9.199	0.965	0.965	0.965	6.575	2.965
	0.001	0.011	0.000	3.635	6.311	9.653	12.711	4.777	6.825	12.241	12.008	15.317	13.000	11.356	15.000	7.672	0.974	0.974	4.832	1.068	2.704
	0.002	0.000	3.034	3.988	4.656	4.659	2.265	9.925	8.625	9.897	0.570	10.181	9.979	12.025	12.696	11.144	0.958	0.958	0.958	7.381	2.455
	0.000	0.000	1.263	3.749	3.309	4.665	1.959	7.278	5.300	11.021	12.339	10.577	14.172	12.183	8.757	7.397	0.970	0.970	0.970	6.212	2.992
	0.664	0.889	0.996	0.000	5.130	1.086	5.313	5.593	7.904	8.566	7.919	4.149	9.173	9.829	10.032	10.787	0.935	4.414	0.943	0.943	0.952
	0.001	0.000	2.323	3.546	5.714	3.906	5.413	9.145	15.282	6.228	8.473	12.600	7.972	14.576	10.515	21.481	0.957	0.957	0.957	7.077	2.786
	0.000	0.000	2.640	4.173	6.071	4.816	6.949	6.937	14.847	6.896	7.610	9.591	9.977	9.154	14.830	20.236	0.957	0.957	0.957	6.783	2.933
	0.018	0.001	2.605	0.000	5.122	6.274	6.512	7.388	11.662	9.910	11.000	11.756	16.531	13.827	14.679	15.060	0.973	3.466	0.974	1.200	1.778
	0.558	0.000	2.705	3.153	3.638	4.966	4.192	5.590	5.125	7.248	11.000	11.790	9.162	9.691	11.345	11.670	0.936	0.936	0.936	8.619	0.961
	0.012	0.002	0.254	0.000	7.062	2.571	7.808	7.559	11.179	14.883	9.700	16.348	14.811	10.560	18.705	19.813	1.806	1.092	0.995	1.141	1.927
	0.002	0.002	0.000	4.000	2.589	6.000	5.384	8.000	2.106	14.154	14.074	12.060	18.437	13.064	15.000	16.000	0.976	0.976	4.714	1.140	2.472
	0.000	0.000	0.000	5.347	1.195	4.017	0.056	5.184	7.259	14.260	11.471	15.209	12.250	9.073	10.429	0.000	0.966	0.966	0.966	6.677	2.960
	0.001	0.002	0.000	3.199	1.676	4.438	2.593	9.259	6.147	4.508	16.174	9.394	13.506	7.742	15.083	17.999	0.970	0.970	4.601	1.122	2.723
	0.017	0.000	0.000	5.668	1.025	11.603	1.737	16.000	16.054	15.844	22.000	8.858	22.179	0.000	20.810	29.382	0.990	0.990	4.468	1.359	1.814
	0.037	0.003	0.002	0.000	3.683	8.903	4.633	2.863	17.494	16.860	15.425	0.696	19.228	10.122	0.000	32.000	0.982	3.114	1.101	1.135	1.533
	1.000	2.000	3.000	0.000	5.000	6.000	7.000	8.000	9.000	10.000	11.000	12.000	13.000	14.000	15.000	16.000	1.944	1.434	0.974	0.974	0.977
	0.004	0.000	3.000	4.481	3.501	6.720	5.161	10.399	7.155	7.001	14.113	12.000	16.179	9.802	15.000	15.021	0.939	0.939	0.939	7.497	2.241
	0.792	0.542	0.762	0.000	4.832	0.723	5.626	5.463	10.176	7.495	7.722	4.645	9.759	8.775	11.594	11.397	0.944	4.359	0.955	0.959	0.954
	0.065	0.902	0.000	0.000	4.038	7.574	6.146	8.000	5.005	13.983	10.474	11.844	12.657	13.155	15.000	30.061	0.975	3.251	1.270	0.982	1.360
	0.038	0.000	3.205	0.000	4.800	5.844	6.664	7.907	14.477	9.697	0.000	11.940	13.171	14.870	7.871	26.544	0.979	3.417	0.980	1.292	1.522
	0.000	0.002	0.000	0.245	4.525	7.077	4.663	9.301	16.277	10.117	16.582	4.124	11.517	4.678	5.434	28.008	0.982	0.982	4.359	1.127	2.965
	0.001	0.000	2.624	4.359	6.092	4.477	6.789	7.477	14.951	7.091	7.684	9.651	10.252	8.190	14.965	20.818	0.956	0.956	0.956	7.109	2.757
	1.000	0.000	3.000	4.000	6.464	2.135	7.000	9.045	6.715	10.000	11.000	12.000	13.000	14.000	15.000	16.000	2.071	0.972	0.972	1.671	0.976
	0.232	0.000	0.090	0.000	1.006	1.933	4.671	8.674	7.032	2.915	5.867	6.071	22.664	18.872	6.972	12.770	0.975	3.272	1.006	1.310	1.088
	0.000	0.000	0.104	4.231	2.340	6.345	7.407	14.275	11.647	13.054	11.457	12.798	14.272	0.982	14.160	24.661	0.983	0.983	0.983	6.012	3.096
	0.080	0.039	0.000	0.692	1.081	4.972	5.123	14.904	12.996	10.000	15.022	0.849	13.000	8.487	6.605	19.865	1.935	0.984	1.247	1.047	1.307
	0.082	0.000	4.693	2.512	4.281	6.144	7.665	8.589	7.376	10.183	8.770	7.364	9.100	6.302	9.447	12.915	0.942	0.942	0.942	8.166	1.264
	0.034	0.000	5.948	0.000	4.250	0.496	4.218	12.888	14.362	3.522	13.540	14.628	17.269	9.534	13.466	26.789	0.977	3.320	0.977	1.376	1.562
	0.001	2.198	0.000	0.108	0.546	7.589	5.129	14.796	9.810	0.944	21.367	22.957	15.083	1.564	26.466	27.655	1.894	1.007	1.238	0.990	2.677
	0.062	0.210	0.000	0.000	3.315	4.464	6.033	6.935	9.866	6.989	7.665	10.429	13.745	12.301	12.524	16.350	0.951	3.300	1.145	0.980	1.347
	0.389	0.753	0.002	0.000	3.983	3.328	8.393	8.000	2.195	16.085	10.459	10.631	6.042	13.057	21.288	0.000	1.872	1.162	1.125	0.990	1.032
	0.084	0.000	0.022	2.477	0.583	5.826	0.937	6.788	6.930	8.569	11.540	3.843	20.664	12.718	8.971	12.652	1.926	0.971	1.020	1.405	1.286
	0.266	0.898	3.300	0.000	2.034	10.284	10.360	5.488	9.181	1.206	13.914	13.375	10.268	14.830	15.754	3.677	2.080	1.228	0.978	0.985	1.071
	0.770	0.383	1.537	0.000	2.946	5.379	5.135	8.491	5.572	7.020	11.980	10.058	12.565	8.798	10.397	9.651	0.950	4.400	0.955	0.970	0.961
	0.467	0.281	3.000	0.000	3.564	2.390	6.077	8.000	6.674	5.823	7.502	8.502	15.461	14.978	10.277	12.620	0.950	4.384	0.951	0.975	0.987
	1.000	0.000	0.000	4.000	5.000	6.000	7.000	5.906	11.373	10.000	6.599	12.000	13.000	14.000	10.826	16.000	1.762	0.964	1.171	1.540	0.968
	0.000	0.000	0.000	6.466	3.757	2.238	11.709	5.429	8.856	12.413	3.499	11.157	12.208	10.864	13.745	8.539	0.968	0.968	0.968	6.844	2.930
	0.001	0.001	0.002	0.355	2.792	3.895	3.762	6.889	9.383	6.969	8.959	6.819	12.171	12.058	12.686	17.290	1.755	0.968	1.057	1.163	2.748
	0.026	0.047	0.002	0.000	6.148	9.550	12.508	7.613	13.859	4.645	3.618	2.859	19.614	7.857	26.196	15.921	0.985	3.289	1.113	1.047	1.650
	0.001	0.003	0.000	0.241	3.309	2.482	4.491	5.619	7.851	9.059	6.653	12.170	13.000	20.877	13.593	14.423	1.739	0.973	1.114	1.098	2.779
	0.006	0.058	0.000	4.000	5.000	6.000	7.000	8.000	9.000	10.000	11.000	12.000	13.490	14.000	15.000	16.000	1.831	0.973	1.324	1.026	2.156
	1.062	2.256	3.712	0.643	4.451	4.211	6.584	5.818	7.688	7.609	8.496	9.525	8.012	10.267	10.660	11.202	2.675	0.937	0.926	0.927	0.929
	0.962	1.078	3.084	2.604	4.706	5.307	5.357	5.683	6.302	8.398	11.135	10.475	8.974	9.984	11.189	11.252	2.699	0.930	0.929	0.934	0.932
	0.094	0.196	4.476	0.000	3.711	9.710	2.290	13.788	6.416	4.222	12.595	20.386	10.706	3.685	26.867	23.916	2.086	1.154	0.980	1.010	1.267
	0.004	0.097	0.094	0.000	5.284	2.010	10.201	9.784	7.418	14.604	12.897	7.777	15.940	1.786	12.100	21.453	0.977	3.526	1.011	1.019	2.274
	0.001	0.001	0.000	0.568	3.236	11.118	2.635	3.135	16.070	16.896	19.603	2.893	22.883	11.275	3.064	29.285	1.640	0.992	1.288	1.162	2.733
	0.985	1.105	0.851	0.000	3.757	3.237	5.221	6.038	6.631	7.375	9.184	4.597	7.896	9.978	15.621	11.189	0.941	4.471	0.951	0.947	0.945
	0.274	0.003	3.000	0.000	5.000	6.000	6.604	8.000	9.000	5.616	11.000	8.992	20.077	14.000	15.000	16.000	1.842	1.215	0.972	1.135	1.061
	0.005	0.000	0.005	0.010	9.618	0.157	0.771	15.547	17.074	19.711	21.254	22.621	1.415	26.461	28.537	31.041	1.717	1.032	1.069	1.340	2.254
	0.000	0.000	1.327	4.000	5.898	4.804	7.259	6.862	11.733	6.590	8.753	9.144	10.467	9.941	15.270	16.000	0.956	0.956	0.956	6.995	2.842
	0.003	0.000	0.028	5.169	5.000	3.280	10.552	8.000	11.474	10.000	6.003	8.400	13.335	8.423	15.000	16.000	0.956	0.956	0.956	7.464	2.333
	0.848	1.830	0.000	3.930	4.272	6.670	5.193	9.384	8.622	16.719	8.425	8.359	9.144	9.935	10.267	11.131	0.933	0.933	6.630	0.935	0.941
	0.006	0.001	0.000	0.415	9.026	0.732	1.411	13.980	16.837	19.106	16.194	22.385	2.082	25.341	25.758	31.031	0.996	0.996	4.692	1.215	2.204
	0.061	0.000	0.010	0.000	9.526	0.000	0.819	15.241	16.813	18.956	20.334	22.482	2.113	22.602	28.677	30.437	0.997	3.043	1.063	1.319	1.399
	0.005	0.000	0.686	5.525	5.441	1.823	11.736	3.380	6.682	14.713	3.714	7.606	8.173	11.936	8.166	9.406	1.856	0.970	0.976	1.565	2.248
	0.044	0.000	0.202	0.151	5.000	8.689	4.157	7.795	9.000	15.930	18.391	2.804	17.093	10.518	2.534	20.968	1.853	0.995	0.998	1.501	1.477
	0.000	0.000	3.400	0.000	1.608	10.813	12.304	5.595	8.456	0.000	12.773	15.312	9.198	13.982	18.271	0.000	0.970	0.970	0.970	6.520	2.970
	0.004	0.019	3.487	0.000	6.402	0.661	5.935	4.750	13.970	16.693	4.272	17.878	4.345	24.831	16.358	26.396	1.941	1.110	0.987	1.069	2.279
	0.003	0.000	0.009	4.407	3.278	1.238	4.092	9.332	8.249	9.336	11.526	5.778	17.425	15.154	14.908	11.453	1.901	0.968	1.033	1.219	2.362
	0.000	0.000	0.000	1.722	4.359	8.867	5.578	5.180	6.482	1.910	9.900	9.422	9.437	2.663	18.727	21.039	0.966	0.966	4.300	1.168	2.883
	0.712	0.000	2.730	3.136	3.574	4.633	3.953	5.280	6.375	7.112	9.917	11.623	9.127	8.770	10.746	10.942	0.933	0.933	0.933	8.676	0.947
	0.000	0.000	0.000	0.371	5.422	11.326	7.367	3.121	5.883	0.000	8.784	13.730	8.573	0.000	19.045	23.950	0.978	0.978	4.195	1.194	2.944
	0.000	0.000	0.000	4.162	2.502	6.000	13.488	3.799	10.691	15.474	7.580	8.793	17.398	10.654	13.400	8.834	0.965	0.965	0.965	6.049	3.046
	0.008	0.000	0.000	0.000	4.377	7.367	5.356	8.543	18.000	12.750	18.190	2.996	13.503	0.000	3.860	32.000	0.987	0.987	4.671	1.230	2.066
	0.634	0.000	2.873	2.882	3.339	4.606	3.622	5.715	5.954	7.226	10.728	11.692	8.723	8.358	10.727	11.161	0.939	0.939	0.939	8.654	0.958
	0.003	0.127	0.002	0.000	7.113	6.000	4.695	8.000	12.818	14.342	11.000	12.000	13.000	9.514	15.000	26.083	0.972	3.193	1.097	1.008	2.352
	0.030	0.001	0.068	0.000	6.122	3.773	11.912	12.611	4.103	16.374	15.310	4.077	19.456	0.000	12.036	22.873	0.985	3.239	1.020	1.216	1.608
	0.716	1.152	0.000	2.023	3.502	5.875	4.898	6.578	6.600	13.984	9.421	7.519	12.174	10.800	10.485	11.028	0.934	0.934	6.518	0.940	0.948
	0.001	0.016	0.002	0.000	2.733	12.000	1.609	11.042	6.269	6.715	21.699	16.142	22.123	4.009	19.746	31.809	0.981	3.013	1.085	1.067	2.644
	0.002	0.001	3.680	0.000	4.941	6.000	7.000	2.413	9.000	0.000	12.947	12.000	13.000	14.000	14.907	6.662	0.978	3.354	0.978	1.161	2.587
	0.001	0.000	0.021	4.462	5.689	2.845	11.055	8.044	11.070	9.756	11.000	8.345	12.103	10.758	15.536	14.182	0.964	0.964	0.964	7.250	2.632
	0.005	0.000	1.568	5.180	8.157	4.640	5.108	12.813	16.931	6.612	8.992	13.215	12.427	11.844	10.336	8.318	0.962	0.962	0.962	7.538	2.235
	0.040	0.007	0.013	0.000	3.735	6.000	4.768	2.534	17.939	15.148	11.000	0.082	18.941	10.347	0.000	22.930	1.818	1.078	1.050	1.101	1.510
	0.034	0.125	0.000	4.000	5.000	6.000	5.945	9.170	9.000	10.000	11.000	7.298	20.345	14.000	15.000	16.000	1.887	0.974	1.378	1.012	1.555
	1.000	0.000	0.034	4.000	5.000	6.000	7.000	8.000	9.000	13.377	11.000	6.298	16.638	7.700	15.000	16.000	1.855	0.975	1.013	1.839	0.979
	0.541	0.765	0.000	2.021	3.802	5.813	4.937	6.440	6.494	12.047	8.188	7.332	8.647	9.465	8.789	12.243	0.947	0.947	6.410	0.957	0.974
	0.007	0.001	0.000	0.610	5.000	6.000	2.183	8.000	16.226	10.000	13.229	12.184	0.666	23.173	22.496	32.000	1.709	0.992	1.278	1.175	2.134
	0.008	0.001	0.000	3.740	3.528	5.285	7.831	7.404	7.957	10.521	10.523	15.147	18.212	14.475	18.072	10.971	0.967	0.967	4.810	1.151	2.071
	0.001	0.000	0.000	4.137	4.188	1.135	4.541	10.491	9.043	7.347	12.319	3.098	18.019	15.896	16.734	13.991	1.683	0.974	1.153	1.284	2.672
	0.027	0.007	0.000	0.017	5.000	5.672	6.645	8.580	18.000	10.000	12.908	6.219	13.000	8.770	15.000	27.018	1.826	1.011	1.130	1.100	1.641
	0.948	2.053	2.815	0.000	4.837	4.189	4.898	5.777	6.973	6.908	9.944	10.419	5.786	8.133	13.282	11.206	0.935	4.670	0.936	0.936	0.940
	1.037	2.251	0.353	1.644	4.014	5.667	3.667	5.440	6.297	13.310	7.716	5.505	8.200	7.672	10.786	11.246	2.607	0.939	0.957	0.936	0.939
	0.849	1.037	2.881	2.570	4.444	5.369	4.952	5.530	6.279	8.425	10.801	10.217	9.079	9.612	10.642	10.951	2.687	0.931	0.930	0.935	0.937
	0.000	0.000	0.000	4.589	3.546	1.501	12.714	8.259	10.082	13.842	4.573	10.694	11.896	10.489	14.349	9.030	0.969	0.969	0.969	6.716	2.959
	0.000	0.000	2.200	4.374	6.297	4.056	7.622	6.108	15.539	7.828	7.042	7.990	10.565	10.677	13.293	21.497	0.960	0.960	0.960	6.863	2.913
	0.001	0.000	0.281	6.800	3.843	0.707	13.163	3.693	7.868	14.065	0.797	9.861	10.457	10.893	11.282	6.298	0.968	0.968	0.968	7.280	2.606
	0.003	0.000	1.235	3.736	3.292	3.913	2.415	6.679	2.125	10.733	11.021	10.969	16.437	12.278	8.800	16.000	0.971	0.971	0.971	7.409	2.447
	0.003	0.000	0.015	4.206	2.515	5.993	7.000	3.806	9.000	15.371	7.659	8.856	17.368	10.615	13.372	8.944	1.744	0.962	1.007	1.514	2.343
	0.003	0.011	3.184	0.000	4.421	3.491	7.000	2.084	1.646	8.222	10.991	20.710	13.000	14.946	14.155	16.000	0.975	3.597	0.976	1.073	2.405
	0.765	0.521	1.617	1.769	3.895	4.590	5.612	5.173	9.662	7.000	6.131	7.339	9.045	9.854	11.088	12.928	2.594	0.934	0.935	0.946	0.942
	0.791	1.594	0.000	3.172	4.349	6.930	3.161	8.458	8.804	16.014	11.423	11.613	9.470	13.395	12.855	13.797	1.997	0.968	1.538	0.970	0.977
	0.039	0.013	0.000	3.416	5.626	5.690	6.915	7.055	4.601	9.768	10.510	15.540	14.715	11.438	18.549	25.397	0.976	0.976	5.369	1.077	1.516
	0.024	0.009	0.032	0.000	5.000	7.192	7.000	7.896	15.332	17.601	13.253	10.434	17.020	6.171	7.646	24.673	0.982	3.384	1.033	1.096	1.678
	0.928	1.892	1.141	1.215	5.003	5.793	4.906	6.202	6.640	10.982	6.893	8.400	9.976	9.866	14.490	15.191	2.636	0.939	0.940	0.935	0.938
	1.000	1.080	0.000	2.424	5.479	6.000	7.000	6.536	9.000	10.000	7.711	11.855	12.206	14.000	7.616	11.917	2.043	0.959	1.427	0.964	0.962
	0.514	0.616	0.000	2.615	3.711	4.751	4.224	6.806	6.230	13.290	9.292	5.612	9.988	8.950	9.792	13.091	1.948	0.956	1.481	0.968	0.985
	0.002	0.203	0.000	0.000	5.299	6.611	5.550	8.280	12.834	10.705	11.380	13.572	19.326	13.660	14.924	10.195	0.973	0.973	5.319	1.000	2.537
	0.032	0.057	0.000	0.000	5.000	6.000	5.306	8.241	17.100	10.000	16.614	12.000	13.000	12.515	8.114	27.596	0.976	3.172	1.162	1.034	1.573
	0.019	0.000	0.000	0.000	6.074	4.820	9.341	8.373	17.600	14.143	8.517	12.194	14.997	2.563	6.472	23.098	0.981	0.981	4.763	1.232	1.759
	0.878	0.232	2.484	0.000	4.271	1.260	7.700	7.200	9.352	13.478	14.463	12.453	6.435	6.976	16.906	16.525	2.089	1.207	0.980	1.007	0.985
	0.000	1.020	0.010	0.000	3.032	4.314	6.031	5.949	7.725	12.694	7.345	8.296	9.138	15.177	10.558	11.685	0.935	0.935	0.935	0.935	10.935
	0.996	2.011	0.294	1.116	3.851	5.814	4.140	5.280	6.326	11.996	7.828	6.370	8.141	8.330	11.102	11.074	2.577	0.950	0.968	0.946	0.948
	0.010	0.024	0.300	0.000	7.579	2.329	7.823	7.922	11.547	15.454	9.477	15.581	13.631	8.836	18.884	20.686	0.978	3.579	0.996	1.057	1.979
